_id,hrg_current,hrg_last,id_kabkota,id_pasar,kategori,name,nm_kabkota,nm_pasar,perubahan,satuan,tanggal
625cf44ad849b4b11436bce5,3000,-,bangkalankab,29,SAYUR MAYUR,- KOL/KUBIS,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bce6,7000,-,bangkalankab,29,SAYUR MAYUR,- KENTANG,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bce7,10000,-,bangkalankab,29,SAYUR MAYUR,- TOMAT,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bce8,5000,-,bangkalankab,29,SAYUR MAYUR,- WORTEL,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bce9,-,-,bangkalankab,29,SAYUR MAYUR,- BUNCIS,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcea,49000,-,bangkalankab,29,SEMEN,- Semen Gresik,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bceb,44000,-,bangkalankab,29,SEMEN,- Semen Tiga Roda,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bcec,-,-,bangkalankab,29,SEMEN,- Semen Padang,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bced,-,-,bangkalankab,29,SEMEN,- Semen Tonasa,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bcee,-,-,bangkalankab,29,SEMEN,- Semen Bosowa,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bcef,-,-,bangkalankab,29,SEMEN,- Semen Dinamix,bangkalankab,Pasar Senenan,-,40 Kg,2012-1-1
625cf44ad849b4b11436bcf0,-,-,bangkalankab,29,IKAN SEGAR,- Ikan Bandeng,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcf1,-,-,bangkalankab,29,IKAN SEGAR,- Ikan Kembung,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcf2,-,-,bangkalankab,29,IKAN SEGAR,- Ikan Tuna,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcf3,-,-,bangkalankab,29,IKAN SEGAR,- ikan Tongkol,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcf4,-,-,bangkalankab,29,IKAN SEGAR,- ikan cakalang,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcf5,-,-,bangkalankab,29,- KAYU BALOK MERANTI (4 X 10),- KAYU BALOK MERANTI (4 X 10),bangkalankab,Pasar Senenan,-,Btg,2012-1-1
625cf44ad849b4b11436bcf6,-,-,bangkalankab,29,- PAPAN MERANTI (4m X 3cm X 20mm),- PAPAN MERANTI (4m X 3cm X 20mm),bangkalankab,Pasar Senenan,-,Lembar,2012-1-1
625cf44ad849b4b11436bcf7,-,-,bangkalankab,29,- TRIPLEK (6MM),- TRIPLEK (6MM),bangkalankab,Pasar Senenan,-,lembar,2012-1-1
625cf44ad849b4b11436bcf8,-,-,bangkalankab,29,BESI BETON (SNI MURNI),- Besi Beton 6 mm (12/9m),bangkalankab,Pasar Senenan,-,Btg,2012-1-1
625cf44ad849b4b11436bcf9,-,-,bangkalankab,29,BESI BETON (SNI MURNI),- Besi Beton 8 mm (12/9m),bangkalankab,Pasar Senenan,-,Btg,2012-1-1
625cf44ad849b4b11436bcfa,-,-,bangkalankab,29,BESI BETON (SNI MURNI),- Besi Beton 10 mm (12/9m),bangkalankab,Pasar Senenan,-,Btg,2012-1-1
625cf44ad849b4b11436bcfb,-,-,bangkalankab,29,BESI BETON (SNI MURNI),- Besi Beton 12 mm (12/9m),bangkalankab,Pasar Senenan,-,Btg,2012-1-1
625cf44ad849b4b11436bcfc,-,-,bangkalankab,29,PAKU,- Paku Ukuran 10Cm,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bcfd,-,-,bangkalankab,29,PAKU,- Paku Ukuran 2 Cm,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bcfe,-,-,bangkalankab,29,PAKU,- Paku Ukuran 3Cm,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bcff,-,-,bangkalankab,29,PAKU,- Paku Ukuran 4Cm,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bd00,-,-,bangkalankab,29,PAKU,- Paku Ukuran 5Cm,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd01,-,-,bangkalankab,29,PAKU,- Paku Ukuran 7Cm,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd02,-,-,bangkalankab,29,- GAS ELPIGI 3 Kg,- GAS ELPIGI 3 Kg,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd03,-,-,bangkalankab,29,PUPUK,- Pupuk KCL Non Subsidi,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd04,-,-,bangkalankab,29,PUPUK,- Pupuk NPK Non Subsidi,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd05,-,-,bangkalankab,29,PUPUK,- Pupuk SP 35 Non Subsidi,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd06,-,-,bangkalankab,29,PUPUK,- Pupuk Urea Non Subsidi,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44ad849b4b11436bd07,-,-,bangkalankab,29,PUPUK,- Pupuk ZA Non Subsidi,bangkalankab,Pasar Senenan,-,Kg,2012-1-1
625cf44bd849b4b11436bd08,9000,9000,bangkalankab,29,BERAS,- Bengawan,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd09,7500,7500,bangkalankab,29,BERAS,- Mentik,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd0a,6500,6500,bangkalankab,29,BERAS,- IR 64,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd0b,9000,9000,bangkalankab,29,GULA PASIR,- Gula Pasir Dalam Negri,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd0c,12250,12250,bangkalankab,29,MINYAK GORENG,- Bimoli Botol / Kemasan (Sps) 620 ml,bangkalankab,Pasar Senenan,0,620 ml,2012-1-2
625cf44bd849b4b11436bd0d,26000,26000,bangkalankab,29,MINYAK GORENG,- Bimoli botol/Kemasan (sps) 2 liter,bangkalankab,Pasar Senenan,0,2 Liter,2012-1-2
625cf44bd849b4b11436bd0e,10000,10000,bangkalankab,29,MINYAK GORENG,- Tanpa Merk / Minyak Curah,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd0f,-,-,bangkalankab,29,MINYAK GORENG,- Minyak Goreng Bimoli Botol/Kemasan (sps) 1 Liter,bangkalankab,Pasar Senenan,-,1 liter,2012-1-2
625cf44bd849b4b11436bd10,65000,65000,bangkalankab,29,DAGING,- Daging Sapi Murni,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd11,23000,23000,bangkalankab,29,DAGING,- Daging Ayam Broiler,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd12,40000,40000,bangkalankab,29,DAGING,- Daging Ayam Kampung,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd13,14000,14000,bangkalankab,29,TELUR AYAM,- Telur Ayam Ras / Petelur,bangkalankab,Pasar Senenan,0,kg,2012-1-2
